"","species","state","year","samplesize"
"1","Sora","AK",2014,15941
"2","Sora","AK",2015,18316
"3","Virginia Rail","AK",2015,18316
"4","Sora","AK",2016,18081
"5","Virginia Rail","AK",2016,18081
"6","Sora","AK",2017,22269
"7","Virginia Rail","AK",2017,22269
"8","Sora","AL",2014,12461
"9","Virginia Rail","AL",2014,12461
"10","Yellow Rail","AL",2014,12461
"11","Sora","AL",2015,11855
"12","Virginia Rail","AL",2015,11855
"13","Sora","AL",2016,14479
"14","Virginia Rail","AL",2016,14479
"15","Yellow Rail","AL",2016,14479
"16","Sora","AL",2017,21144
"17","Virginia Rail","AL",2017,21144
"18","Yellow Rail","AL",2017,21144
"19","Sora","AL",2018,5748
"20","Virginia Rail","AL",2018,5748
"21","Sora","AR",2014,8647
"22","Virginia Rail","AR",2014,8647
"23","Sora","AR",2015,8479
"24","Virginia Rail","AR",2015,8479
"25","Sora","AR",2016,11104
"26","Virginia Rail","AR",2016,11104
"27","Yellow Rail","AR",2016,11104
"28","Sora","AR",2017,11402
"29","Virginia Rail","AR",2017,11402
"30","Virginia Rail","AR",2018,3417
"31","Sora","AZ",2014,59971
"32","Virginia Rail","AZ",2014,59971
"33","Sora","AZ",2015,62682
"34","Virginia Rail","AZ",2015,62682
"35","Sora","AZ",2016,72072
"36","Virginia Rail","AZ",2016,72072
"37","Sora","AZ",2017,87167
"38","Virginia Rail","AZ",2017,87167
"39","Sora","AZ",2018,21989
"40","Virginia Rail","AZ",2018,21989
